date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,00:00:00,146.917,146.938,146.906,146.938,7,0,97
2025.09.18,00:01:00,146.941,146.941,146.941,146.941,1,0,95
2025.09.18,00:02:00,146.941,146.941,146.941,146.941,1,0,72
2025.09.18,00:03:00,146.941,146.941,146.941,146.941,1,0,68
2025.09.18,00:04:00,146.941,146.941,146.941,146.941,1,0,76
2025.09.18,00:05:00,146.941,146.941,146.923,146.941,4,0,67
2025.09.18,00:06:00,146.941,146.941,146.941,146.941,1,0,76
2025.09.18,00:07:00,146.948,146.948,146.948,146.948,1,0,70
2025.09.18,00:08:00,146.948,146.948,146.947,146.947,2,0,52
2025.09.18,00:09:00,146.947,146.955,146.947,146.955,4,0,57
2025.09.18,00:10:00,146.952,146.959,146.946,146.951,5,0,53
2025.09.18,00:11:00,146.951,146.951,146.951,146.951,1,0,78
2025.09.18,00:12:00,146.948,146.948,146.943,146.943,2,0,82
2025.09.18,00:13:00,146.943,146.943,146.939,146.939,2,0,86
2025.09.18,00:14:00,146.931,146.932,146.931,146.932,2,0,76
2025.09.18,00:15:00,146.932,146.934,146.932,146.934,2,0,75
2025.09.18,00:16:00,146.934,146.934,146.930,146.930,2,0,74
2025.09.18,00:17:00,146.930,146.930,146.930,146.930,1,0,87
2025.09.18,00:18:00,146.928,146.928,146.928,146.928,1,0,89
2025.09.18,00:19:00,146.928,146.928,146.927,146.927,2,0,89
2025.09.18,00:20:00,146.922,146.924,146.922,146.922,3,0,93
2025.09.18,00:21:00,146.925,146.926,146.925,146.926,2,0,88
2025.09.18,00:22:00,146.925,146.925,146.921,146.921,2,0,89
2025.09.18,00:23:00,146.921,146.924,146.890,146.924,3,0,90
2025.09.18,00:24:00,146.923,146.923,146.923,146.923,1,0,91
2025.09.18,00:25:00,146.923,146.923,146.923,146.923,1,0,90
2025.09.18,00:26:00,146.920,146.920,146.911,146.911,2,0,90
2025.09.18,00:27:00,146.911,146.918,146.911,146.918,3,0,73
2025.09.18,00:28:00,146.918,146.918,146.917,146.917,2,0,68
2025.09.18,00:29:00,146.917,146.919,146.915,146.919,4,0,70
2025.09.18,00:30:00,146.919,146.919,146.911,146.911,3,0,74
2025.09.18,00:31:00,146.911,146.911,146.909,146.909,3,0,77
